+-------+------------+---------------------+
| id    | time       | number              |
| 1.1.4 | 2020-09-01 |                28.3 |
| 1.1.4 | 2020-10-01 |                   0 |
| 1.1.4 | 2020-11-01 |                   0 |
| 1.1.4 | 2020-12-01 |                   0 |
| 1.1.4 | 2021-01-01 |                   0 |
| 1.1.4 | 2021-02-01 |                   0 |
| 1.1.4 | 2021-03-01 |                   0 |
| 1.1.4 | 2021-04-01 |                   0 |
| 1.1.4 | 2021-05-01 |                   0 |
| 1.1.4 | 2021-06-01 |                   0 |
| 1.1.4 | 2021-07-01 |                   0 |
| 1.1.4 | 2021-08-01 |                   0 |
| 1.1.4 | 2021-09-01 |                   0 |
| 1.1.4 | 2021-10-01 |                   0 |
| 1.1.4 | 2021-11-01 |                   0 |
| 1.1.4 | 2021-12-01 |                 1.5 |
| 1.1.4 | 2022-01-01 |                19.8 |
| 1.1.4 | 2022-02-01 |                21.7 |
| 1.1.4 | 2022-03-01 |                21.8 |
| 1.1.4 | 2022-04-01 |                21.7 |
| 1.1.4 | 2022-05-01 |                22.1 |
| 1.1.4 | 2022-06-01 |                21.9 |
| 1.1.4 | 2022-07-01 |                  22 |
| 1.1.4 | 2022-08-01 |                  22 |
| 1.1.4 | 2022-09-01 |                  22 |
| 1.1.4 | 2022-10-01 |                21.7 |
| 1.1.4 | 2022-11-01 |                21.7 |
| 1.1.4 | 2022-12-01 |                21.8 |
| 1.1.4 | 2023-01-01 |                21.8 |
| 1.1.4 | 2023-02-01 |                21.8 |
| 1.1.4 | 2023-03-01 |                21.8 |
| 1.1.4 | 2023-04-01 |                21.7 |
| 1.1.4 | 2023-05-01 |                  22 |
| 1.1.4 | 2023-06-01 |                  22 |
| 1.1.4 | 2023-07-01 |                21.6 |
| 1.1.4 | 2023-08-01 |                21.6 |
| 1.1.4 | 2023-09-01 |                21.7 |
| 1.1.4 | 2023-10-01 |                21.7 |
| 1.1.4 | 2023-11-01 |                21.7 |
| 1.1.4 | 2023-12-01 |                21.7 |
| 1.1.4 | 2024-01-01 |                21.7 |
| 1.1.4 | 2024-02-01 |                21.7 |
| 1.1.4 | 2024-03-01 |                21.7 |
| 1.1.4 | 2024-04-01 |                21.7 |
| 1.1.4 | 2024-05-01 |                21.7 |
