+-------+------------+--------------------+
| id    | time       | number             |
| 2.3.1 | 2025-02-15 |                 17 |
| 2.3.1 | 2025-03-15 |                 16 |
| 2.3.1 | 2025-04-15 |                 23 |
| 2.3.1 | 2025-05-15 |                 44 |
| 2.3.1 | 2025-06-15 |                 77 |
| 2.3.1 | 2025-07-15 |                 87 |
| 2.3.1 | 2025-08-15 |                 87 |
| 2.3.1 | 2025-09-15 |                 84 |
| 2.3.1 | 2025-10-15 |                171 |
| 3.2.1 | 2024-07-01 |                  0 |
| 3.2.1 | 2024-08-01 |                  0 |
| 3.2.1 | 2024-09-01 |                  0 |
| 3.2.1 | 2024-10-01 |                  0 |
| 3.2.1 | 2024-11-01 |                  0 |
| 3.2.1 | 2024-12-01 |                  0 |
| 3.2.1 | 2025-01-01 |                  0 |
| 3.2.1 | 2025-02-01 |                  0 |
| 3.2.1 | 2025-03-01 |                  0 |
| 3.2.1 | 2025-04-01 |                  0 |
| 3.2.1 | 2025-05-01 |                  0 |
| 3.2.1 | 2025-06-01 |                  0 |
| 3.2.1 | 2025-07-01 |                  0 |
| 3.2.1 | 2025-08-01 |                  0 |
| 3.2.1 | 2025-09-01 |               1879 |
+-------+------------+--------------------+
